measure,label,model,dataset,arch,pvp,nshot,sample,value,time_train,time_test,run,majority
F1,1,roberta,ag,pet,qa,10,5,0.955696202531646,,,1,0.95523178807947
F1,1,roberta,ag,pet,qa,10,5,0.930359085963003,,,2,0.95523178807947
F1,1,roberta,ag,pet,qa,10,5,0.955991516436903,,,3,0.95523178807947
F1,1,roberta,ag,pet,qa,10,5,0.946442845723421,,,4,0.95523178807947
F1,1,roberta,ag,pet,qa,10,5,0.955160520031839,,,5,0.95523178807947
F1,2,roberta,ag,pet,qa,10,5,0.716043755697356,,,1,0.725274725274725
F1,2,roberta,ag,pet,qa,10,5,0.587014369345396,,,2,0.725274725274725
F1,2,roberta,ag,pet,qa,10,5,0.738025635259726,,,3,0.725274725274725
F1,2,roberta,ag,pet,qa,10,5,0.703925482368596,,,4,0.725274725274725
F1,2,roberta,ag,pet,qa,10,5,0.727195043794061,,,5,0.725274725274725
F1,3,roberta,ag,pet,qa,10,5,0.636756397474244,,,1,0.687089715536105
F1,3,roberta,ag,pet,qa,10,5,0.688177594217863,,,2,0.687089715536105
F1,3,roberta,ag,pet,qa,10,5,0.707287201469688,,,3,0.687089715536105
F1,3,roberta,ag,pet,qa,10,5,0.675476336816226,,,4,0.687089715536105
F1,3,roberta,ag,pet,qa,10,5,0.655217965653897,,,5,0.687089715536105
F1,Overall,roberta,ag,pet,qa,10,5,0.759248247489761,,,1,0.777590588945432
F1,Overall,roberta,ag,pet,qa,10,5,0.734198656523395,,,2,0.777590588945432
F1,Overall,roberta,ag,pet,qa,10,5,0.789962696636128,,,3,0.777590588945432
F1,Overall,roberta,ag,pet,qa,10,5,0.765771698257463,,,4,0.777590588945432
F1,Overall,roberta,ag,pet,qa,10,5,0.766822184089455,,,5,0.777590588945432
Precision,0,roberta,ag,pet,qa,10,5,0.692089057318806,,,1,0.749330476700589
Precision,0,roberta,ag,pet,qa,10,5,0.714357429718876,,,2,0.749330476700589
Precision,0,roberta,ag,pet,qa,10,5,0.776308539944904,,,3,0.749330476700589
Precision,0,roberta,ag,pet,qa,10,5,0.761210762331839,,,4,0.749330476700589
Precision,0,roberta,ag,pet,qa,10,5,0.745334796926454,,,5,0.749330476700589
Precision,1,roberta,ag,pet,qa,10,5,0.957716701902748,,,1,0.9616
Precision,1,roberta,ag,pet,qa,10,5,0.962837837837838,,,2,0.9616
Precision,1,roberta,ag,pet,qa,10,5,0.963141025641026,,,3,0.9616
Precision,1,roberta,ag,pet,qa,10,5,0.958445763626552,,,4,0.9616
Precision,1,roberta,ag,pet,qa,10,5,0.963081861958267,,,5,0.9616
Precision,2,roberta,ag,pet,qa,10,5,0.631430868167203,,,1,0.631887456037515
Precision,2,roberta,ag,pet,qa,10,5,0.593649085037675,,,2,0.631887456037515
